name,need
Density Selection,Dataset
Density Selection,Probability Densities
Dataset,Direct Products
Probability Densities,Probability Outcomes
Probability Densities,Probability Distributions
Direct Products,Natural Numbers
Direct Products,Subsets
Probability Outcomes,Probability
Probability Outcomes,Cardinality
Probability Distributions,Real Summation
Probability Distributions,Probability Outcomes
Natural Numbers,Functions
Subsets,Sets
Probability,Common Sense
Cardinality,Natural Numbers
Real Summation,Natural Summation
Real Summation,Real Numbers
Functions,Relations
Functions,Set Specification
Sets,Objects
Natural Summation,Arithmetic
Natural Summation,Direct Products
Real Numbers,Integer Numbers
Relations,Ordered Pairs
Set Specification,Set Extension
Arithmetic,Natural Numbers
Arithmetic,Operations
Integer Numbers,Solving Equations
Ordered Pairs,Sets
Set Extension,Identity
Set Extension,Sets
Operations,Functions
Solving Equations,Arithmetic
Solving Equations,Equations
Identity,Objects
Equations,Objects
