name,need
Vector Space Isomorphisms,Linear Transformations
Vector Space Isomorphisms,Vector Space Dimensions
Linear Transformations,Linear Combinations
Linear Transformations,Transformations
Vector Space Dimensions,Vector Space Bases
Linear Combinations,Vectors
Transformations,Vectors
Vector Space Bases,Linearly Dependent Vectors
Vector Space Bases,Span
Vectors,Fields
Vectors,N-Dimensional Space
Linearly Dependent Vectors,Linear Combinations
Span,Subspaces
Fields,Groups
Fields,Real Numbers
N-Dimensional Space,Real Numbers
N-Dimensional Space,Space
Subspaces,Vectors
Groups,Algebras
Groups,Integer Numbers
Real Numbers,Rational Numbers
Algebras,Operations
Integer Numbers,Equation Solutions
Rational Numbers,Integer Numbers
Operations,Functions
Equation Solutions,Arithmetic
Equation Solutions,Equations
Functions,Relations
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Identity
Relations,Ordered Pairs
Natural Numbers,Empty Set
Natural Numbers,Set Intersections
Natural Numbers,Set Unions
Identity,Objects
Ordered Pairs,Empty Set
Ordered Pairs,Unordered Pairs
Empty Set,Set Specification
Set Intersections,Set Specification
Set Unions,Set Specification
Unordered Pairs,Set Specification
Set Specification,Sentences
Set Specification,Set Inclusion
Sentences,Sets
Set Inclusion,Set Equality
Sets,Objects
Set Equality,Identity
Set Equality,Sets
